2026-08-13 10:49:34 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:49:34 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 97.746707 MHz in FM mode
2026-08-13 10:49:35 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:49:35 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:50:11 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:50:11 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.585613 MHz in FM mode
2026-08-13 10:50:15 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:50:15 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:50:54 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:50:54 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:50:56 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 82F10682 [hardware]
2026-08-13 10:50:56 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: 82F10682
2026-08-13 10:51:15 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:51:15 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 103.643364 MHz in FM mode
2026-08-13 10:51:20 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:51:20 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 11:02:57 [INFO    ] sdr_monitor.web_backend (main.py:243): Shutting down Web-SDR Application...
2026-08-13 11:03:30 [INFO    ] sdr_monitor (logger.py:65): Logger initialized  →  logs\sdr_monitor_20260813.log
2026-08-13 11:03:30 [DEBUG   ] sdr_monitor.signal_processor (signal_processor.py:85): SignalProcessor  fft=1024  window=hann  avg=3
2026-08-13 11:03:30 [INFO    ] sdr_monitor.db_manager (db_manager.py:29): Database initialized at: data/sdr_monitor.db
2026-08-13 11:03:31 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: C334B6B6 [simulation]
2026-08-13 11:03:32 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
